ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,launched_hour,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
1909457709,643.21,30,2013,11,4,0,2013,10,5,5,16,9,10,72,32.0,1
1910491195,7500.0,30,2017,3,24,4,2017,2,22,2,22,22,8,136,9.0,0
850001798,20000.0,30,2013,5,31,4,2013,5,1,2,11,22,10,109,45.0,0
1493715284,100000.0,60,2016,8,6,5,2016,6,7,1,2,22,8,148,18.0,0
533775970,3500.0,45,2012,3,20,1,2012,2,4,5,19,22,5,52,60.0,0
1391456915,3213.26,60,2014,9,29,0,2014,7,31,3,19,9,11,104,25.0,0
1847987474,3000.0,30,2016,4,7,3,2016,3,8,1,17,22,8,106,26.0,0
921097134,5000.0,30,2015,2,15,6,2015,1,16,4,19,22,12,95,34.0,0
1662217959,450.0,30,2015,4,8,2,2015,3,9,0,20,22,12,54,26.0,0
113090545,500.0,30,2011,3,18,4,2011,2,16,2,16,22,12,95,52.0,1
1015559733,5000.0,45,2015,2,23,0,2015,1,9,4,22,22,7,44,54.0,0
827037996,1200.0,60,2012,6,8,4,2012,4,9,0,16,22,3,36,34.0,1
850475597,2563.01,30,2014,7,13,6,2014,6,13,4,12,9,14,92,4.0,1
94556653,3500.0,30,2016,11,23,2,2016,10,24,0,20,22,12,115,11.0,0
1741968327,20000.0,30,2013,9,11,2,2013,8,12,0,23,22,8,136,25.0,0
286045948,700.0,3,2014,9,1,0,2014,8,29,4,21,22,12,54,20.0,0
1630394688,661.87,25,2017,9,3,6,2017,8,9,2,23,3,8,136,59.0,1
1901163852,7000.0,31,2016,9,2,4,2016,8,2,1,5,22,1,44,34.0,0
862481784,2500000.0,30,2016,9,28,2,2016,8,29,0,17,22,13,138,16.0,0
1255868271,1200.0,16,2012,12,16,6,2012,11,30,4,2,22,10,72,31.0,1
1571966025,500.0,30,2017,2,15,2,2017,1,16,0,23,22,12,108,18.0,0
1602570449,5500.0,45,2016,11,13,6,2016,9,29,3,5,22,3,99,43.0,1
1626369466,10000.0,36,2011,10,31,0,2011,9,25,6,21,22,6,39,38.0,1
831791821,4500.0,45,2014,11,16,6,2014,10,2,3,0,22,2,32,24.0,0
326471948,20000.0,21,2014,7,2,2,2014,6,11,2,1,22,6,39,24.0,0
126533888,35000.0,35,2013,7,17,2,2013,6,12,2,21,22,6,39,34.0,1
1559753469,1000.0,30,2015,2,12,3,2015,1,13,1,7,22,5,7,15.0,0
929809770,30000.0,30,2016,4,16,5,2016,3,17,3,14,22,10,30,41.0,1
1953025947,3000.0,91,2011,6,22,2,2011,3,23,2,3,22,10,90,51.0,0
789083131,12000.0,45,2017,7,24,0,2017,6,9,4,19,22,6,93,21.0,0
793642882,400.0,28,2014,1,25,5,2013,12,28,5,2,22,5,52,25.0,1
1226949960,8000.0,30,2016,7,11,0,2016,6,11,5,7,22,10,72,15.0,0
623453526,2460.1,30,2015,2,20,4,2015,1,21,2,23,9,5,2,45.0,0
1470351422,1500.0,41,2014,9,1,0,2014,7,22,1,21,22,14,53,35.0,1
548425165,6200.0,30,2014,10,20,0,2014,9,20,5,22,22,13,151,55.0,1
396346550,10000.0,30,2014,9,20,5,2014,8,21,3,6,22,12,115,44.0,0
519628079,3000.0,45,2012,7,23,0,2012,6,8,4,21,22,14,141,48.0,0
531122946,2500.0,30,2014,1,19,6,2013,12,20,4,3,22,8,136,29.0,1
380715745,300.0,60,2016,4,20,2,2016,2,20,5,20,22,12,54,57.0,1
525905614,50000.0,31,2013,6,15,5,2013,5,15,2,17,22,6,153,24.0,1
2083856257,2000.0,30,2012,3,18,6,2012,2,17,4,9,22,6,129,31.0,1
1478759860,5000.0,59,2016,4,27,2,2016,2,28,6,3,22,1,25,10.0,0
1388878342,75000.0,30,2014,10,19,6,2014,9,19,4,2,22,6,55,18.0,0
1240744762,1443.23,17,2016,5,29,6,2016,5,12,3,22,9,4,113,51.0,1
1801645575,2008.33,14,2017,9,24,6,2017,9,10,6,17,9,8,136,37.0,1
1218255208,435.46,22,2014,10,10,4,2014,9,18,3,7,1,14,107,12.0,1
1121489501,17081.07,43,2015,3,14,5,2015,1,30,4,23,9,12,95,54.0,0
538965728,99000.0,38,2012,10,15,0,2012,9,7,4,7,22,14,141,48.0,0
1612645634,2400.0,32,2011,11,21,0,2011,10,20,3,11,22,12,95,59.0,1
57074092,2500000.0,30,2015,4,4,5,2015,3,5,3,23,22,13,8,28.0,0
987382794,2000.0,51,2010,8,11,2,2010,6,21,0,22,22,12,11,23.0,0
1444551580,340.0,7,2017,3,21,1,2017,3,14,1,15,22,12,108,28.0,1
1789382100,1427.78,25,2016,2,15,0,2016,1,21,3,19,9,6,40,9.0,1
662857248,15000.0,30,2014,10,29,2,2014,9,29,0,23,22,13,8,11.0,0
2093100518,3500.0,31,2017,7,6,3,2017,6,5,0,15,22,6,24,34.0,1
10005784,1113.98,14,2015,3,20,4,2015,3,6,4,15,9,6,40,18.0,1
414726178,38337.68,30,2016,9,23,4,2016,8,24,2,19,3,13,151,12.0,0
65610918,10567.85,30,2017,12,8,4,2017,11,8,2,18,8,3,99,50.0,0
1097990146,2000.0,30,2014,6,4,2,2014,5,5,0,3,22,14,141,24.0,1
234936875,3828.96,30,2015,6,20,5,2015,5,21,3,11,1,10,72,40.0,0
194172856,200000.0,91,2011,5,13,4,2011,2,11,4,9,22,4,113,52.0,0
588170758,1000.0,11,2016,9,21,2,2016,9,10,5,11,22,4,113,16.0,0
423062329,62144.79,30,2015,6,19,4,2015,5,20,2,13,5,6,89,47.0,0
600826791,31615.9,30,2015,12,3,3,2015,11,3,1,17,7,4,113,51.0,1
1670522926,50.0,22,2014,9,24,2,2014,9,2,1,13,22,1,152,46.0,1
1868859959,55702.33,33,2013,1,15,1,2012,12,13,3,14,9,8,62,42.0,0
499425996,10000.0,60,2016,3,2,2,2016,1,2,5,23,22,10,68,39.0,0
198900200,10000.0,30,2010,10,30,5,2010,9,30,3,18,22,10,109,43.0,1
60814319,5600.0,15,2014,10,9,3,2014,9,24,2,22,22,10,72,19.0,1
2046867852,46948.36,40,2014,6,9,0,2014,4,30,2,19,1,13,138,7.0,0
175252173,6214.36,28,2014,12,20,5,2014,11,22,5,22,9,8,136,32.0,0
1326455830,7500.0,30,2012,8,8,2,2012,7,9,0,17,22,3,36,43.0,1
1660640641,1650.0,31,2015,9,1,1,2015,8,1,5,19,22,8,136,56.0,1
1262225145,10000.0,30,2011,6,19,6,2011,5,20,4,22,22,6,93,49.0,1
470376516,800.0,30,2016,2,24,2,2016,1,25,0,8,22,13,138,34.0,0
1645845850,34000.0,42,2015,9,15,1,2015,8,4,1,5,22,4,113,56.0,1
631809867,1500.0,24,2016,6,30,3,2016,6,6,0,17,22,10,125,41.0,0
1588801585,1000.0,19,2016,4,2,5,2016,3,14,0,15,22,1,25,24.0,1
92462051,20000.0,40,2015,4,7,1,2015,2,26,3,19,22,10,125,35.0,0
1991987540,500.0,30,2014,3,27,3,2014,2,25,1,21,22,5,20,47.0,1
1581203964,1000.0,43,2010,10,16,5,2010,9,3,4,22,22,8,148,44.0,1
656025916,6000.0,30,2016,7,10,6,2016,6,10,4,0,22,6,55,11.0,1
1012512108,1000.0,36,2013,2,4,0,2012,12,30,6,17,22,0,98,15.0,1
5996936,13000.0,23,2014,4,25,4,2014,4,2,2,14,22,8,136,59.0,1
1638940998,3000.0,45,2012,11,23,4,2012,10,9,1,23,22,11,104,54.0,0
1731123041,13282.86,30,2016,6,30,3,2016,5,31,1,10,9,8,148,51.0,1
347427091,7800.0,32,2012,5,7,0,2012,4,5,3,6,22,14,141,37.0,1
1858049704,5400.0,30,2013,3,25,0,2013,2,23,5,2,22,10,90,31.0,1
341987548,3346.94,45,2014,5,27,1,2014,4,12,5,11,9,11,104,57.0,0
1126054769,500.0,30,2015,9,2,2,2015,8,3,0,16,22,2,32,56.0,0
1687345393,334.07,45,2017,11,1,2,2017,9,17,6,1,3,5,2,17.0,1
927169524,40000.0,60,2012,10,17,2,2012,8,18,5,5,22,6,39,31.0,1
73008098,5600.0,30,2017,11,9,3,2017,10,10,1,19,22,2,32,55.0,0
1435605061,4000.0,30,2015,7,14,1,2015,6,14,6,3,22,3,99,8.0,1
342854585,6000.0,20,2011,7,24,6,2011,7,4,0,16,22,6,55,20.0,1
1018791443,1616.1,20,2017,4,26,2,2017,4,6,3,14,9,0,10,43.0,0
2061340457,5000.0,21,2012,11,14,2,2012,10,24,2,21,22,12,95,43.0,1
671053317,10000.0,45,2017,4,12,2,2017,2,26,6,7,22,5,7,21.0,0
630017097,1400.0,60,2012,3,4,6,2012,1,4,2,22,22,10,23,60.0,1
974280304,1200.0,30,2014,3,30,6,2014,2,28,4,6,22,13,138,42.0,0
1214855780,1500.0,30,2016,7,14,3,2016,6,14,1,23,22,4,65,27.0,0
1896400102,5000.0,20,2015,6,4,3,2015,5,15,4,11,22,11,105,25.0,0
1351539916,904.69,28,2017,5,31,2,2017,5,3,2,23,6,4,113,31.0,1
